depth.mbsf,trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
37.5,2,7:41:00,sample,arg-amc,1,killed,800,275.03
37.5,2,7:41:00,sample,arg-amc,2,killed,800,250.13
37.5,2,7:41:00,sample,arg-amc,3,killed,800,330.42
37.5,2,7:41:00,sample,pro-amc,1,killed,800,293.99
37.5,2,7:41:00,sample,pro-amc,2,killed,800,269.39
37.5,2,7:41:00,sample,pro-amc,3,killed,800,253.27
37.5,2,7:41:00,sample,orn-amc,1,killed,800,1132.92
37.5,2,7:41:00,sample,orn-amc,2,killed,800,916.12
37.5,2,7:41:00,sample,orn-amc,3,killed,800,979.13
37.5,2,7:41:00,sample,phe-arg-amc,1,killed,800,487.3
37.5,2,7:41:00,sample,phe-arg-amc,2,killed,800,351.04
37.5,2,7:41:00,sample,phe-arg-amc,3,killed,800,396.23
37.5,2,7:41:00,sample,phe-val-arg-amc,1,killed,800,430.6
37.5,2,7:41:00,sample,phe-val-arg-amc,2,killed,800,352.02
37.5,2,7:41:00,sample,phe-val-arg-amc,3,killed,800,352.02
37.5,2,7:41:00,calib,mub-std,NA,live,0,114.33
37.5,2,7:41:00,calib,mub-std,NA,live,16,3440.31
37.5,2,7:41:00,calib,mub-std,NA,live,32,6074.27
37.5,2,7:41:00,calib,mub-std,NA,live,48,10378.07
37.5,2,7:41:00,calib,mub-std,NA,live,64,13660.2
37.5,2,7:41:00,calib,mub-std,NA,live,80,7811.9
37.5,2,7:41:00,calib,amc-std,NA,live,0,111.71
37.5,2,7:41:00,calib,amc-std,NA,live,16,5867.57
37.5,2,7:41:00,calib,amc-std,NA,live,32,16501.68
37.5,2,7:41:00,calib,amc-std,NA,live,48,29658.51
37.5,2,7:41:00,calib,amc-std,NA,live,64,27709.52
37.5,2,7:41:00,calib,amc-std,NA,live,80,16150.92
37.5,2,21:50:00,sample,mub-po4,1,live,800,2330.41
37.5,2,21:50:00,sample,mub-po4,2,live,800,2451.92
37.5,2,21:50:00,sample,mub-po4,3,live,800,2555.65
37.5,2,21:50:00,sample,mub-xylo,1,live,800,259.02
37.5,2,21:50:00,sample,mub-xylo,2,live,800,257.06
37.5,2,21:50:00,sample,mub-xylo,3,live,800,245.33
37.5,2,21:50:00,sample,mub-cell,1,live,800,125.7
37.5,2,21:50:00,sample,mub-cell,2,live,800,289.72
37.5,2,21:50:00,sample,mub-cell,3,live,800,186.33
37.5,2,21:50:00,sample,mub-nag,1,live,800,448.08
37.5,2,21:50:00,sample,mub-nag,2,live,800,534.29
