depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU,
43.15,21:56:00,sample,phe-val-arg-amc,2,killed,800,396.54,
43.15,21:56:00,sample,phe-val-arg-amc,3,killed,800,550.91,
43.15,21:56:00,standard,mub-po4,NA,buffer,800,251222.26,
43.15,21:56:00,standard,mub-xylo,NA,buffer,800,6170.77,
43.15,21:56:00,standard,mub-cell,NA,buffer,800,17494.62,
43.15,21:56:00,standard,mub-nag,NA,buffer,800,40591.34,
43.15,21:56:00,standard,mub-b-glu,NA,buffer,800,3885.2,
43.15,21:56:00,standard,mub-a-glu,NA,buffer,800,8805.24,
43.15,21:56:00,standard,leu-amc,NA,buffer,800,151433.98,
43.15,21:56:00,standard,arg-amc,NA,buffer,800,207727.09,
43.15,21:56:00,standard,pro-amc,NA,buffer,800,178385.59,
43.15,21:56:00,standard,orn-amc,NA,buffer,800,722275.81,
43.15,21:56:00,standard,phe-arg-amc,NA,buffer,800,471228.56,
43.15,21:56:00,standard,phe-val-arg-amc,NA,buffer,800,467738.81,
43.15,21:56:00,standard,mub-std,NA,buffer,40,3863094.25,
43.15,21:56:00,standard,amc-std,NA,buffer,40,45021868,
43.15,21:56:00,calib,mub-std,NA,live,0,263,
43.15,21:56:00,calib,mub-std,NA,live,16,11075.68,
43.15,21:56:00,calib,mub-std,NA,live,32,21873.55,
43.15,21:56:00,calib,mub-std,NA,live,48,31095.52,
43.15,21:56:00,calib,mub-std,NA,live,64,39531.75,
43.15,21:56:00,calib,mub-std,NA,live,80,45172.39,
43.15,21:56:00,calib,amc-std,NA,live,0,214.98,
43.15,21:56:00,calib,amc-std,NA,live,16,12172.43,
43.15,21:56:00,calib,amc-std,NA,live,32,22838.4,
43.15,21:56:00,calib,amc-std,NA,live,48,35931.87,
43.15,21:56:00,calib,amc-std,NA,live,64,61430.56,
43.15,21:56:00,calib,amc-std,NA,live,80,58981.64,
