trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
1,18:36:00,sample,phe-val-arg-amc,1,killed,800,14081.54
1,18:36:00,sample,phe-val-arg-amc,2,killed,800,11218.57
1,18:36:00,sample,phe-val-arg-amc,3,killed,800,11497.56
1,18:36:00,standard,mub-po4,NA,buffer,800,747349.25
1,18:36:00,standard,mub-xylo,NA,buffer,800,8203.41
1,18:36:00,standard,mub-cell,NA,buffer,800,10810
1,18:36:00,standard,mub-nag,NA,buffer,800,17639.32
1,18:36:00,standard,mub-b-glu,NA,buffer,800,3222.97
1,18:36:00,standard,mub-a-glu,NA,buffer,800,4884.29
1,18:36:00,standard,leu-amc,NA,buffer,800,219867.92
1,18:36:00,standard,arg-amc,NA,buffer,800,242381.32
1,18:36:00,standard,pro-amc,NA,buffer,800,147942.37
1,18:36:00,standard,orn-amc,NA,buffer,800,450635.03
1,18:36:00,standard,phe-arg-amc,NA,buffer,800,445947.75
1,18:36:00,standard,phe-val-arg-amc,NA,buffer,800,473651.96
1,18:36:00,standard,mub-std,NA,buffer,40,238792.01
1,18:36:00,standard,amc-std,NA,buffer,40,15183501
1,22:14:00,sample,mub-po4,1,live,800,94876.53
1,22:14:00,sample,mub-po4,2,live,800,94541.62
1,22:14:00,sample,mub-po4,3,live,800,1835
1,22:14:00,sample,mub-xylo,1,live,800,1808.91
1,22:14:00,sample,mub-xylo,2,live,800,3272.15
1,22:14:00,sample,mub-xylo,3,live,800,90679.97
1,22:14:00,sample,mub-cell,1,live,800,1559.37
1,22:14:00,sample,mub-cell,2,live,800,2072.53
1,22:14:00,sample,mub-cell,3,live,800,2254.32
1,22:14:00,sample,mub-nag,1,live,800,8337.74
1,22:14:00,sample,mub-nag,2,live,800,8093.99
1,22:14:00,sample,mub-nag,3,live,800,7455.82
1,22:14:00,sample,mub-b-glu,1,live,800,22260.83
1,22:14:00,sample,mub-b-glu,2,live,800,19192.74
1,22:14:00,sample,mub-b-glu,3,live,800,20246.94
1,22:14:00,sample,mub-a-glu,1,live,800,1107.94
1,22:14:00,sample,mub-a-glu,2,live,800,1122.34
1,22:14:00,sample,mub-a-glu,3,live,800,1044.06
1,22:14:00,sample,leu-amc,1,live,800,23085.11
1,22:14:00,sample,leu-amc,2,live,800,26433.35
1,22:14:00,sample,leu-amc,3,live,800,21503.94
1,22:14:00,sample,arg-amc,1,live,800,17366.81
1,22:14:00,sample,arg-amc,2,live,800,18239.29
1,22:14:00,sample,arg-amc,3,live,800,17523.53
1,22:14:00,sample,pro-amc,1,live,800,7296.92
