depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
68.12,5:29:00,calib,mub-std,NA,live,48,7325.58
68.12,5:29:00,calib,mub-std,NA,live,64,12291.32
68.12,5:29:00,calib,mub-std,NA,live,80,
68.12,5:29:00,calib,amc-std,NA,live,0,82.45
68.12,5:29:00,calib,amc-std,NA,live,16,9327.35
68.12,5:29:00,calib,amc-std,NA,live,32,13816.86
68.12,5:29:00,calib,amc-std,NA,live,48,23666.14
68.12,5:29:00,calib,amc-std,NA,live,64,32383.21
68.12,5:29:00,calib,amc-std,NA,live,80,37061.17
68.12,18:45:00,sample,mub-po4,1,live,800,1886.66
68.12,18:45:00,sample,mub-po4,2,live,800,1969.49
68.12,18:45:00,sample,mub-po4,3,live,800,2042.57
68.12,18:45:00,sample,mub-xylo,1,live,800,68.42
68.12,18:45:00,sample,mub-xylo,2,live,800,69.37
68.12,18:45:00,sample,mub-xylo,3,live,800,65.59
68.12,18:45:00,sample,mub-cell,1,live,800,94.14
68.12,18:45:00,sample,mub-cell,2,live,800,92.63
68.12,18:45:00,sample,mub-cell,3,live,800,98.4
68.12,18:45:00,sample,mub-nag,1,live,800,196.94
68.12,18:45:00,sample,mub-nag,2,live,800,220.43
68.12,18:45:00,sample,mub-nag,3,live,800,195.13
68.12,18:45:00,sample,mub-b-glu,1,live,800,57.49
68.12,18:45:00,sample,mub-b-glu,2,live,800,59.41
68.12,18:45:00,sample,mub-b-glu,3,live,800,56.62
68.12,18:45:00,sample,mub-a-glu,1,live,800,62.35
68.12,18:45:00,sample,mub-a-glu,2,live,800,61.1
68.12,18:45:00,sample,mub-a-glu,3,live,800,62.34
68.12,18:45:00,sample,leu-amc,1,live,800,220.91
68.12,18:45:00,sample,leu-amc,2,live,800,218.02
68.12,18:45:00,sample,leu-amc,3,live,800,227.25
68.12,18:45:00,sample,arg-amc,1,live,800,176.12
68.12,18:45:00,sample,arg-amc,2,live,800,176.24
68.12,18:45:00,sample,arg-amc,3,live,800,163.56
68.12,18:45:00,sample,pro-amc,1,live,800,155.82
